,target_area,target_sign,target_finding_time,target_finding_result,sub_id,trial_id,condition,seconds_after_trigger
135,0,1,0.9584609,False,3,2,Visual,12.953458
136,0,1,1.289635,False,3,2,Visual,18.9119189
137,1,1,2.0,True,3,2,Visual,25.2015539
138,1,0,0.6666667,True,3,2,Visual,32.2015539
139,1,1,15.45897,True,3,2,Visual,37.8682206
140,0,0,1.593952,True,1,3,Both,5.0
141,0,0,1.682796,True,1,3,Both,11.593952
142,1,1,2.185329,True,1,3,Both,18.276748
143,1,0,2.288373,True,1,3,Both,25.462077
144,1,0,10.5369,True,1,3,Both,32.75045
145,0,1,1.776005,True,1,3,Both,48.28735
146,1,0,1.631972,True,1,3,Both,55.063355
147,1,1,1.625336,True,4,2,Visual,5.0
148,0,0,1.762794,True,4,2,Visual,11.625336
149,0,1,5.079782,True,4,2,Visual,18.38813
151,0,0,6.549587,True,4,2,Visual,33.467912
152,1,1,2.861737,True,4,2,Visual,45.017499
153,1,0,2.580757,True,4,2,Visual,52.879236000000006
154,0,1,1.925413,True,5,2,Both,5.0
156,1,0,1.538594,True,5,2,Both,16.925413
157,0,1,1.307186,True,5,2,Both,23.464007
159,1,0,2.048635,True,5,2,Both,34.771193
160,0,1,1.775217,True,5,2,Both,41.819828
161,0,0,1.115728,True,5,2,Both,48.595045
162,1,0,1.224036,True,5,2,Both,54.710773
163,1,1,1.395516,True,5,2,Both,60.934809
164,0,0,10.93457,True,5,3,Both,5.0
165,1,0,0.2542912,True,5,3,Both,20.93457
166,0,0,1.373195,True,5,3,Both,26.1888612
167,1,1,1.429295,True,5,3,Both,32.5620562
168,0,1,0.8908297,True,5,3,Both,38.9913512
169,0,1,1.616908,True,5,3,Both,44.8821809
170,0,1,2.15247,True,5,3,Both,51.499088900000004
172,1,1,2.776334,True,4,3,Visual,5.0
173,1,1,6.117885,True,4,3,Visual,12.776334
174,0,0,6.246056,True,4,3,Visual,23.894219
175,0,0,8.606964,True,4,3,Visual,35.140275
176,0,0,10.11601,True,4,3,Visual,48.747239
177,0,0,5.543982,True,1,2,Both,5.0
178,1,0,2.215516,True,1,2,Both,15.543982
179,0,1,1.494229,True,1,2,Both,22.759498
180,0,0,3.033886,True,1,2,Both,29.253726999999998
181,1,1,2.830208,True,1,2,Both,37.287613
182,1,0,2.589979,True,1,2,Both,45.117821
184,0,1,1.664293,True,1,2,Both,57.7078
186,1,0,1.73076,True,1,0,Both,5.0
187,1,0,2.619936,True,1,0,Both,11.73076
188,0,1,1.813177,True,1,0,Both,19.350696
189,0,0,5.127263,True,1,0,Both,26.163873000000002
190,1,1,2.097553,True,1,0,Both,36.291136
191,1,0,2.577119,True,1,0,Both,43.388689
193,1,0,2.42548,True,1,0,Both,55.965808
194,1,1,2.395596,False,4,1,Visual,5.0
195,0,1,1.984103,True,4,1,Visual,12.395596
197,1,0,7.460734,True,4,1,Visual,24.379699
198,0,0,3.545329,True,4,1,Visual,36.840433000000004
199,0,1,12.93703,True,4,1,Visual,45.385762
200,1,0,1.226117,False,5,1,Both,5.0
201,0,1,9.195969,True,5,1,Both,11.226117
202,1,0,1.912588,True,5,1,Both,25.422086
204,0,0,2.80567,True,5,1,Both,37.334674
205,0,1,1.695167,True,5,1,Both,45.140344
206,1,1,1.556351,True,5,1,Both,51.835511
207,0,0,7.731471,True,5,0,Both,5.0
208,0,0,1.639014,True,5,0,Both,17.731471
209,0,1,0.1304525,False,5,0,Both,24.370485000000002
210,1,0,2.165295,True,5,0,Both,29.5009375
211,1,0,1.458657,True,5,0,Both,36.6662325
212,1,0,1.85943,True,5,0,Both,43.1248895
213,1,0,1.485459,True,5,0,Both,49.9843195
214,0,1,1.236858,False,5,0,Both,56.469778500000004
215,1,1,4.90457,True,4,0,Visual,5.0
216,0,0,7.408264,True,4,0,Visual,14.90457
217,0,1,7.662069,True,4,0,Visual,27.312834
218,1,0,3.195282,True,4,0,Visual,39.974903
219,0,0,4.291522,True,4,0,Visual,48.170185
221,1,0,2.221062,True,1,1,Both,5.0
222,1,0,2.889777,True,1,1,Both,12.221062
223,0,0,1.636971,True,1,1,Both,20.110839
224,0,0,2.973967,True,1,1,Both,26.74781
225,1,0,4.401413,True,1,1,Both,34.721777
226,1,1,1.94177,True,1,1,Both,44.12319
227,0,1,1.678239,True,1,1,Both,51.06496
228,0,1,1.983097,True,5,0,Sound,5.0
229,0,1,1.387363,True,5,0,Sound,11.983097
231,1,0,3.083774,True,5,0,Sound,23.37046
232,1,1,13.85414,False,5,0,Sound,31.454234
233,1,1,1.272583,True,5,0,Sound,50.308374
234,0,1,4.511429,True,5,0,Sound,56.580957
236,1,1,2.122359,True,5,2,Visual,5.0
237,0,0,2.278459,True,5,2,Visual,12.122359
238,1,0,6.036381,True,5,2,Visual,19.400818
240,0,0,1.512992,True,5,2,Visual,35.437199
241,0,1,5.764596,True,5,2,Visual,41.950191000000004
242,0,0,1.260715,True,5,2,Visual,52.714787
243,1,0,2.608552,True,5,2,Visual,58.975502000000006
244,0,1,1.525902,True,2,3,Sound,5.0
245,1,0,3.092019,True,2,3,Sound,11.525902
246,1,1,1.735653,True,2,3,Sound,19.617921
247,1,0,1.670875,True,2,3,Sound,26.353574000000002
248,1,0,2.42093,True,2,3,Sound,33.024449000000004
249,1,0,2.015638,True,2,3,Sound,40.445379
250,0,0,1.644922,True,2,3,Sound,47.461017
251,0,1,1.765475,True,2,3,Sound,54.105939
252,0,0,1.36375,True,2,2,Sound,5.0
253,1,0,2.875453,True,2,2,Sound,11.36375
254,0,1,1.350192,True,2,2,Sound,19.239203
255,1,0,1.934965,True,2,2,Sound,25.589395
256,1,0,1.588575,True,2,2,Sound,32.52436
257,0,1,1.485756,True,2,2,Sound,39.112935
258,1,0,2.06679,True,2,2,Sound,45.598691
259,0,0,1.501505,True,2,2,Sound,52.665481
260,1,0,1.824299,True,5,3,Visual,5.0
262,0,1,1.229802,True,5,3,Visual,16.824299
263,0,1,1.527104,True,5,3,Visual,23.054101
265,1,1,2.684042,True,5,3,Visual,34.581205
266,0,0,2.167641,True,5,3,Visual,42.265247
268,1,1,6.006086,True,5,3,Visual,54.432888
269,0,0,2.264128,True,5,3,Visual,65.438974
270,0,0,1.695307,True,5,1,Sound,5.0
273,1,1,1.846284,True,5,1,Sound,21.695307
274,0,1,4.358541,True,5,1,Sound,28.541591
275,1,1,3.456558,True,5,1,Sound,37.900132
277,0,1,1.449875,True,5,1,Sound,51.35669
278,1,1,2.898524,True,5,1,Sound,57.806565
280,1,1,1.794042,True,5,3,Sound,5.0
283,1,1,6.643799,True,5,3,Sound,21.794042
284,0,1,1.326119,True,5,3,Sound,33.437841
286,1,0,1.689898,True,5,3,Sound,44.76396
287,0,1,1.914164,True,5,3,Sound,51.453858
288,0,1,1.774488,True,5,3,Sound,58.368021999999996
289,1,1,2.848186,True,5,3,Sound,65.14251
290,1,1,1.630114,True,5,1,Visual,5.0
291,1,0,1.502837,True,5,1,Visual,11.630114
292,1,1,2.526937,True,5,1,Visual,18.132951
294,1,1,1.246184,True,5,1,Visual,30.659888000000002
295,1,0,1.805573,True,5,1,Visual,36.906072
296,0,1,2.181192,True,5,1,Visual,43.711645000000004
297,0,0,11.36581,True,5,1,Visual,50.892837
298,1,1,1.751766,True,2,0,Sound,5.0
299,1,0,2.120751,True,2,0,Sound,11.751766
300,0,1,2.700616,True,2,0,Sound,18.872517
301,0,0,4.432885,True,2,0,Sound,26.573133
303,1,0,1.637104,True,2,0,Sound,41.006018
304,0,0,1.496528,True,2,0,Sound,47.643122000000005
305,1,0,2.552253,True,2,0,Sound,54.13965
306,0,0,1.401878,True,2,0,Sound,61.691902999999996
307,0,0,1.541815,True,2,1,Sound,5.0
308,1,1,1.492821,True,2,1,Sound,11.541815
309,1,0,1.652149,True,2,1,Sound,18.034636
310,0,0,1.831245,True,2,1,Sound,24.686785
311,1,0,2.115343,True,2,1,Sound,31.51803
312,0,1,3.296043,True,2,1,Sound,38.633373
313,1,0,1.3609,True,2,1,Sound,46.929416
314,0,0,1.606733,True,2,1,Sound,53.290316000000004
315,1,1,1.676107,True,5,0,Visual,5.0
317,1,1,1.230899,True,5,0,Visual,16.676107000000002
318,1,0,1.804462,True,5,0,Visual,22.907006
319,0,0,0.1767529,True,5,0,Visual,29.711468
320,0,1,1.359092,True,5,0,Visual,34.8882209
321,0,0,1.138959,True,5,0,Visual,41.2473129
322,0,0,1.553598,True,5,0,Visual,47.3862719
323,1,1,1.721368,True,5,0,Visual,53.939869900000005
325,0,0,1.676829,True,5,2,Sound,5.0
326,0,1,1.776517,True,5,2,Sound,11.676829
328,1,1,1.654058,True,5,2,Sound,23.453346
329,1,1,3.01863,True,5,2,Sound,30.107404
330,1,0,2.111592,True,5,2,Sound,38.126034000000004
332,0,1,1.541736,True,5,2,Sound,50.237626
334,0,1,1.349405,True,5,2,Sound,61.779362
335,1,0,1.824098,False,4,2,Sound,5.0
336,1,1,2.345537,True,4,2,Sound,11.824098
337,0,1,7.712814,True,4,2,Sound,19.169635
338,1,1,24.14277,True,4,2,Sound,31.882449
339,1,1,4.197917,False,3,1,Sound,5.0
340,1,1,2.359869,True,3,1,Sound,14.197917
342,1,1,3.367859,True,3,1,Sound,26.557786
344,1,1,4.082148,False,3,1,Sound,39.925645
345,0,1,1.985752,True,3,1,Sound,49.007793
346,0,0,3.256324,True,2,0,Visual,5.0
347,0,1,2.494776,True,2,0,Visual,13.256324
348,0,1,6.882006,True,2,0,Visual,20.7511
349,1,0,2.79392,False,2,0,Visual,32.633106
350,0,1,2.027514,False,2,0,Visual,40.427026
351,1,0,2.724993,True,2,0,Visual,47.45454
352,1,0,1.632671,True,2,0,Visual,55.179533000000006
353,0,1,1.540493,False,2,1,Visual,5.0
354,0,1,1.171259,True,2,1,Visual,11.540493
355,0,0,1.191234,False,2,1,Visual,17.711752
356,1,0,2.431885,True,2,1,Visual,23.902986
357,1,0,2.073064,True,2,1,Visual,31.334871
358,0,1,3.089878,True,2,1,Visual,38.407935
359,0,1,1.517541,True,2,1,Visual,46.497813
360,1,0,2.319012,True,2,1,Visual,53.015354
361,1,1,47.02293,False,3,0,Sound,5.0
362,1,1,2.072862,True,4,3,Sound,5.0
363,0,1,7.588486,True,4,3,Sound,12.072862
364,0,1,2.049346,True,4,3,Sound,24.661348
365,1,1,2.193745,True,4,3,Sound,31.710694
366,0,1,34.39082,True,4,1,Sound,5.0
367,0,1,7.602734,True,4,1,Sound,44.39082
368,0,1,0.8282714,False,3,2,Sound,5.0
369,1,1,5.738605,False,3,2,Sound,10.8282714
370,0,0,0.6666667,True,3,2,Sound,21.566876399999998
371,1,1,1.709156,False,3,2,Sound,27.2335431
372,1,0,1.329502,False,2,3,Visual,5.0
373,0,1,1.907292,False,2,3,Visual,11.329502
374,0,1,1.171421,True,2,3,Visual,18.236794
375,1,0,2.223579,False,2,3,Visual,24.408215
376,0,0,1.78796,True,2,3,Visual,31.631794
377,1,0,3.816162,True,2,3,Visual,38.419754
378,0,1,1.3042,False,2,3,Visual,47.235916
379,0,1,1.333333,True,2,2,Visual,5.0
380,1,0,1.333333,True,2,2,Visual,11.333333
381,1,0,3.951066,True,2,2,Visual,17.666666
383,1,0,1.805689,True,2,2,Visual,31.617732
384,0,1,1.233282,False,2,2,Visual,38.423421000000005
386,1,0,2.219355,True,2,2,Visual,49.656703
387,0,1,1.485592,True,2,2,Visual,56.876058
388,0,1,1.146516,False,3,3,Sound,5.0
